,SMA10,EMA10,SMA20,EMA20,SMA30,EMA30,SMA50,EMA50,SMA100,EMA100,SMA200,EMA200,RSI,STOCH,CCI,ADX,AWS,MOM,MACD,STOCHRSI,WILLIAM,ULTIMATE
daily,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,1,-1,0,0,0
weekly,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,-1,-1,-1,-1,0,0,0
monthly,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,0,0,-1,1,-1,-1,0,0,0
daily,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0
weekly,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,-1,-1,-1,-1,0,0,-1
monthly,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,0,0,-1,1,-1,-1,0,0,0
daily,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,0
weekly,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,-1,-1,-1,-1,0,0,0
monthly,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,0,0,0,1,-1,-1,0,0,0
